( 16819.2 | 105902.10112790922 ),( 16819.2 | 105902.10112790922 ),
( 16819.2 | 105902.10112790922 ),( 16819.2 | 105902.10112790922 ),
( 16819.2 | 105902.10112790922 ),( 16783.534 | 106167.3852672334 ),
( 16694.369 | 106830.59561554386 ),( 16640.870000000003 | 107228.52182453015 ),
( 16623.037 | 107361.16389419226 ),( 16605.204 | 107493.80596385432 ),
( 16533.872 | 108024.3742425027 ),( 16504.542999999998 | 110033.19955308491 ),
( 16257.240000000002 | 110385.87792375364 ),( 16087.606 | 111951.52918703204 ),
( 16007.578000000001 | 112242.86689902295 ),( 15731.386999999999 | 113993.26737729688 ),
( 15624.389 | 114789.11979526945 ),( 15517.391000000001 | 115584.972213242 ),
( 15410.393 | 116380.82463121455 ),( 15353.01 | 124127.69375199889 ),
( 15284.327000000001 | 134050.05631596103 ),( 15196.752 | 150910.13050058883 ),
( 15072.452000000001 | 174840.55837554447 )
